feature,stfi_raw,stfi_norm,perm_raw,perm_norm,shap_raw,shap_norm,stfi_rank,perm_rank,shap_rank,seed
PROSPECTIVE_COLLECTION,0.01412092479480384,0.014120924794803843,0.0002645502645502562,0.0010252904989746772,0.008124320066852231,0.017954878953246756,12,17,16,1
RACE,0.02221701975318606,0.022217019753186063,0.009071869488536137,0.03515892002734101,0.0019338523363607797,0.004273844989746238,8,7,24,1
RADIATION_TREATMENT_ADJUVANT,0.016783737206926202,0.016783737206926205,-0.001124338624338624,0.0,0.002275354745083244,0.005028570845005378,11,18,23,1
RETROSPECTIVE_COLLECTION,0.01283136439222403,0.012831364392224032,-0.001102292768959423,0.0,0.008085926191266881,0.01787002786626243,13,18,17,1
SAMPLE_COUNT,0.0370264238326904,0.037026423832690405,0.0,0.0,0.00040319675707302366,0.000891071364497911,5,18,29,1
SAMPLE_TYPE,0.0072277568724036685,0.007227756872403669,0.0008156966490299659,0.003161312371838624,0.0026629058980421,0.005885065170968526,21,16,22,1
SAMPLE_TYPE_ID,0.011768020903329256,0.011768020903329257,0.0019179894179894444,0.007433356117566747,0.0035832547494656394,0.0079190510413051,15,14,20,1
SEX,0.004503760149840644,0.004503760149840645,0.0017636684303351043,0.0068352699931647585,0.0072433924179146885,0.016008014578986558,25,15,18,1
VIAL_NUMBER,0.02446117028566317,0.024461170285663175,0.0,0.0,0.000292488064447678,0.0006464033604306561,6,18,30,1
AGE,0.5091259021679045,0.5091259021679047,0.01342312008978684,0.03995056284864885,0.015166362213627788,0.03173265473959751,1,5,11,2
AJCC_NODES_PATHOLOGIC_PN,0.006336247617036253,0.006336247617036255,0.012233445566778993,0.036409793900524505,0.00883586934162095,0.018487333164831768,20,6,13,2
AJCC_STAGING_EDITION,0.004964719095451751,0.004964719095451752,0.004590347923681352,0.013662023582857539,0.027639741114271425,0.057830767162011194,23,14,6,2
DAYS_TO_COLLECTION,0.03350013250444036,0.033500132504440366,0.07537598204264881,0.22433777599625784,0.07610124564366284,0.15922701299417338,6,2,2,2
FORM_COMPLETION_DATE,0.001537404268262479,0.0015374042682624795,0.008866442199775615,0.02638874970771964,0.016716831766697388,0.034976709860977,29,9,8,2
FRACTION_GENOME_ALTERED,0.006436501263332926,0.006436501263332927,0.0042199775533109714,0.012559708721648978,0.0297170327740933,0.06217709478534477,19,16,5,2
ICD_10,0.005234132593350593,0.005234132593350594,0.011425364758698172,0.03400474329425131,0.0165646149979476,0.03465822596218327,22,7,9,2
